Precio,Cambio,Potencia,Año,kilometraje,Diésel,Eléctrico,Gasolina,Hybrid
15499,0,130,2018,65539,False,False,True,False
18990,0,132,2018,65899,False,False,True,False
18499,0,115,2021,10813,False,False,True,False
13599,0,90,2019,33459,False,False,True,False
17299,1,140,2019,53475,False,False,True,False
15399,0,130,2015,52801,False,False,True,False
18199,0,140,2019,48175,False,False,True,False
12100,1,88,2015,41853,False,True,False,False
12200,0,90,2015,103425,False,False,True,False
24900,0,110,2017,37558,True,False,False,False
8990,0,75,2014,132000,True,False,False,False
22850,0,130,2021,23113,False,False,True,False
8990,0,75,2014,132000,True,False,False,False
13290,0,90,2018,96904,True,False,False,False
9890,0,75,2017,68448,True,False,False,False
12650,0,90,2016,98882,False,False,True,False
12900,0,90,2015,146514,True,False,False,False
12100,1,88,2015,41853,False,True,False,False
12200,0,90,2015,103425,False,False,True,False
5950,1,175,2010,204970,True,False,False,False
5950,1,175,2010,204970,True,False,False,False
5950,1,175,2010,204970,True,False,False,False
1200,0,100,2001,193000,False,False,True,False
17480,0,140,2019,86171,False,False,True,False
12650,0,90,2016,98882,False,False,True,False
18599,1,150,2017,42770,False,False,True,False
12900,0,90,2015,146514,True,False,False,False
3190,0,175,2007,255000,True,False,False,False
18399,0,140,2018,63964,False,False,True,False
21099,0,116,2021,13620,True,False,False,False
16299,0,130,2018,121567,False,False,True,False
14499,0,110,2017,112108,True,False,False,False
20699,0,140,2018,61395,False,False,True,False
22850,0,130,2021,23113,False,False,True,False
17480,0,140,2019,86171,False,False,True,False
19999,0,140,2019,45640,False,False,True,False
9651,0,75,2015,77000,False,False,True,False
20490,1,160,2016,116289,True,False,False,False
21500,0,140,2019,81945,False,False,True,False
18388,1,120,2017,12720,False,False,True,False
16390,1,110,2015,101879,True,False,False,False
17537,1,120,2017,95088,False,False,True,False
8899,0,75,2014,55200,True,False,False,False
12990,0,115,2014,58530,False,False,True,False
23870,0,140,2022,17800,False,False,True,False
21473,0,90,2022,13500,False,False,True,False
18388,1,120,2017,12720,False,False,True,False
14199,0,132,2017,50890,False,False,True,False
12699,0,90,2016,72273,False,False,True,False
23799,1,159,2021,11618,False,False,True,False
16799,0,101,2019,54229,False,False,True,False
16390,1,110,2015,101879,True,False,False,False
17537,1,120,2017,95088,False,False,True,False
13423,0,90,2018,19400,False,False,True,False
19800,1,160,2018,97103,True,False,False,False
16735,0,115,2019,60100,True,False,False,False
17658,0,130,2016,67800,True,False,False,False
13490,0,90,2016,99000,False,False,True,False
11990,0,90,2019,82358,False,False,True,False
13490,0,90,2016,99000,False,False,True,False
1699,0,80,2005,202000,True,False,False,False
9099,0,75,2016,108680,True,False,False,False
10400,0,90,2013,120000,False,False,True,False
9900,0,75,2018,140000,True,False,False,False
24990,1,108,2021,9800,False,True,False,False
20780,1,108,2020,35900,False,True,False,False
21690,0,90,2022,14600,False,False,True,False
22577,1,135,2020,51100,False,True,False,False
20780,1,108,2020,40350,False,True,False,False
19790,0,110,2018,85000,True,False,False,False
19393,0,115,2021,35095,True,False,False,False
22900,0,115,2019,39600,True,False,False,False
8900,0,75,2013,73300,False,False,True,False
2000,0,80,2003,127720,True,False,False,False
12599,0,110,2017,134254,True,False,False,False
13640,0,90,2018,47400,False,False,True,False
19490,0,130,2017,47950,True,False,False,False
14915,0,130,2018,75700,False,False,True,False
4990,0,75,2009,119000,False,False,True,False
13423,0,110,2017,85100,True,False,False,False
19205,0,130,2016,57835,True,False,False,False
10900,0,197,2007,185674,False,False,True,False
16990,0,140,2020,20200,False,False,True,False
19205,0,130,2016,57835,True,False,False,False
8399,0,105,2010,91302,True,False,False,False
18607,1,150,2018,40000,False,False,True,False
17900,0,115,2019,113700,True,False,False,False
18705,0,115,2019,83650,True,False,False,False
19890,0,115,2021,15900,True,False,False,False
13799,1,90,2016,65033,True,False,False,False
22067,0,95,2022,25250,True,False,False,False
15999,0,132,2018,82395,False,False,True,False
19290,1,130,2017,68600,True,False,False,False
9500,0,125,2010,300000,True,False,False,False
6900,0,110,2011,191000,False,False,True,False
17930,0,115,2020,50900,True,False,False,False
15137,0,90,2019,70300,False,False,True,False
19198,1,150,2019,35000,False,False,True,False
19001,0,140,2019,42450,False,False,True,False
16217,0,115,2019,77200,False,False,True,False
10390,0,95,2015,98696,True,False,False,False
10390,0,95,2015,98696,True,False,False,False
10390,0,95,2015,98696,True,False,False,False
16990,1,130,2019,24940,False,False,True,False
7990,0,75,2019,112428,True,False,False,False
22990,0,115,2022,4601,True,False,False,False
13899,0,90,2017,43790,False,False,True,False
21199,0,116,2020,19238,True,False,False,False
4000,0,85,2010,243000,True,False,False,False
15390,0,115,2018,29259,False,False,True,False
21880,0,120,2019,28650,True,False,False,False
3500,0,105,2008,210000,True,False,False,False
16299,0,115,2019,42524,True,False,False,False
2250,1,150,2005,227312,True,False,False,False
3400,0,130,2007,290000,True,False,False,False
2800,0,130,2005,198800,True,False,False,False
14990,0,90,2014,64797,False,False,True,False
18500,0,130,2018,36000,False,False,True,False
1200,0,6,1996,94000,False,False,True,False
21990,1,108,2020,20200,False,True,False,False
18688,1,92,2017,49717,False,True,False,False
18688,1,92,2017,49717,False,True,False,False
9000,0,110,2013,117000,True,False,False,False
8990,0,95,2014,94000,True,False,False,False
16990,0,140,2019,36374,False,False,True,False
16990,0,120,2019,91820,True,False,False,False
13490,0,110,2017,80097,True,False,False,False
10990,0,75,2018,81269,True,False,False,False
11990,0,75,2019,44829,True,False,False,False
12900,0,110,2015,118000,True,False,False,False
14900,0,110,2018,128000,True,False,False,False
15780,0,110,2017,31079,True,False,False,False
1900,0,110,2001,241000,False,False,True,False
14527,0,90,2019,42000,False,False,True,False
18500,0,115,2020,44000,True,False,False,False
18900,0,131,2018,157000,True,False,False,False
23403,1,130,2017,41774,True,False,False,False
